date,description,amount,balance,type,is_credit,source_file
2018-04-01,IMPS-MOB/Fund Trf/809119519742/Oma Ram/BENE - VER,-1.0,22.62,debit,False,bank statement 1.pdf
2018-04-01,IMPS-MOB/Fund Trf/809119553510/Oma Ram/2000,2000.0,2022.62,credit,True,bank statement 1.pdf
2018-04-03,NACH/TP ACH Bajaj Finanac/88551679,-1912.0,110.62,debit,False,bank statement 1.pdf
2018-04-04,APB-INW/HP644950 000009 3003,170.2,280.82,debit,True,bank statement 1.pdf
2018-04-04,POS-VISA/KARUN MEDICAL/809414290216,-75.0,205.82,debit,False,bank statement 1.pdf
2018-04-05,IMPS-MOB/Fund Trf/809521437177/NITI N POOJARI/null,3200.0,3405.82,credit,True,bank statement 1.pdf
2018-04-10,BILLPAY/RECH/VODAFONE PRE/181000095 662/10042018,-509.0,2896.82,debit,False,bank statement 1.pdf
2018-04-10,ATM-NFS/CASH WITHDRAWAL/+DONGRI OAT M/810020011497,-2000.0,896.82,debit,False,bank statement 1.pdf
2018-04-14,ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN I AKRUTI/810418,-500.0,396.82,debit,False,bank statement 1.pdf
2018-04-20,IMPS-RIB/Fund Trf/811010759849/Pay Rs300,-300.0,96.82,debit,False,bank statement 1.pdf
2018-04-20,IMPS-RIB/FT-REV/811010759849/Pay Rs 300,300.0,396.82,credit,True,bank statement 1.pdf
2018-04-20,POS-VISA/MANSI MEDICAL/811013502615,-75.0,321.82,debit,False,bank statement 1.pdf
2018-04-22,IMPS-MOB/Fund Trf/811212400262/Chan drakant Yuv/BE,1.0,322.82,debit,True,bank statement 1.pdf
2018-04-22,IMPS-MOB/Fund Trf/811212428216/Chan drakant Yuv/ch,4999.0,5321.82,credit,True,bank statement 1.pdf
2018-04-22,IMPS-RIB/Fund Trf/811212820665/Pay salary,-1000.0,4321.82,debit,False,bank statement 1.pdf
2018-04-22,IMPS-RIB/Fund Trf/811213820961/Pay for salary,-500.0,3821.82,debit,False,bank statement 1.pdf
2018-04-23,ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN I AKRUTI/811309,-1000.0,2821.82,debit,False,bank statement 1.pdf
2018-04-23,IMPS-RIB/Fund Trf/811320861437/Pay salaryRs2500,-2500.0,321.82,debit,False,bank statement 1.pdf
2018-04-23,IMPS-RIB/Fund Trf/811321862644/Pay 300,-300.0,21.82,credit,False,bank statement 1.pdf
2018-05-03,IMPS-INET/Fund Trf/812321002185/Cha ndrakant Yuv/I,2000.0,2021.82,credit,True,bank statement 1.pdf
2018-05-05,NACH/TP ACH Bajaj Finanac/97127969,-1912.0,109.82,debit,False,bank statement 1.pdf
2018-05-09,ATM-NFS/CASH WITHDRAWAL/+WHITE HOUS E/812912009989,-100.0,9.82,debit,False,bank statement 1.pdf
2018-05-09,IMPS-MOB/Fund Trf/812917902484/SACH IN PANDURAN/Fr,200.0,209.82,debit,True,bank statement 1.pdf
2018-05-11,IMPS-RIB/Fund Trf/813114420579/Pay salary,-200.0,9.82,debit,False,bank statement 1.pdf
2018-05-11,IMPS-RIB/FT-REV/813114420579/Pay sa lary,200.0,209.82,debit,True,bank statement 1.pdf
2018-05-11,IMPS-RIB/Fund Trf/813117426391/Pay for arjant,-200.0,9.82,debit,False,bank statement 1.pdf
2018-05-11,IMPS-RIB/FT-REV/813117426391/Pay fo r arjant,200.0,209.82,debit,True,bank statement 1.pdf
2018-05-12,BILLPAY/RECH/IDEA PREPAID/181320083 270/12052018,-27.0,182.82,debit,False,bank statement 1.pdf
2018-05-16,ATM-NFS/CASH WITHDRAWAL/+Sandhurst Road/8136190082,-100.0,82.82,debit,False,bank statement 1.pdf
2018-05-17,APB-INW/HP644950 012055 1405,134.06,216.88,credit,True,bank statement 1.pdf
2018-05-17,IMPS-MOB/Fund Trf/813700005886/RID- 24 SP/9090,6000.0,6216.88,credit,True,bank statement 1.pdf
2018-05-18,IMPS-MOB/Fund Trf/813800005916/RID- 24 SP/0098,1200.0,7416.88,credit,True,bank statement 1.pdf
2018-05-18,ATM-NFS/CASH WITHDRAWAL/+WADIBUNDER /813810005906,-500.0,6916.88,debit,False,bank statement 1.pdf
2018-05-20,ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN I AKRUTI/814016,-500.0,6416.88,debit,False,bank statement 1.pdf
2018-05-20,POS-VISA/KARUN MEDICAL/814016444557,-75.0,6341.88,debit,False,bank statement 1.pdf
2018-05-21,ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN I AKRUTI/814110,-1000.0,5341.88,debit,False,bank statement 1.pdf
2018-05-21,POS-VISA/FLIPKART PAYMENTS/81410945 1953,-569.0,4772.88,debit,False,bank statement 1.pdf
2018-05-21,ATM-NFS/CASH WITHDRAWAL/+GOVANDI EA ST BR/814117029,-3000.0,1772.88,debit,False,bank statement 1.pdf
2018-05-21,POS-VISA/HOTEL SAROJ/814118881722,-300.0,1472.88,debit,False,bank statement 1.pdf
2018-05-23,BILLPAY/RECH/VODAFONE PRE/181430064 620/23052018,-100.0,1372.88,debit,False,bank statement 1.pdf
2018-05-23,BILLPAY/RECH/TATASKY DTH/1814300658 42/23052018,-1000.0,372.88,debit,False,bank statement 1.pdf
2018-06-01,POS-VISA/Upper Crust Foods Pvt THAN E/815214619098,-261.0,111.88,debit,False,bank statement 1.pdf
2018-06-01,IMPS-MOB/Fund Trf/815200006812/RID- 24 SP/Payment,2000.0,2111.88,credit,True,bank statement 1.pdf
2018-06-02,NACH/TP ACH Bajaj Finanac/101294174,-1912.0,199.88,debit,False,bank statement 1.pdf
2018-06-06,Charge:Cash Wdl at other ATM/Inv270 5181513668571/2,-20.0,179.88,debit,False,bank statement 1.pdf
2018-06-06,CGST on Charge:Cash Wdl at other AT M/Inv2705181513,-1.8,178.08,debit,False,bank statement 1.pdf
2018-06-06,SGST on Charge:Cash Wdl at other AT M/Inv2705181513,-1.8,176.28,debit,False,bank statement 1.pdf
2018-06-19,APB-INW/HP644950 018603 1106,180.19,356.47,credit,True,bank statement 1.pdf
2018-06-30,CREDIT INTEREST CRED,9.0,365.47,credit,True,bank statement 1.pdf
2018-07-01,IMPS-MOB/Fund Trf/818200008670/RID- 24 SP/Pay for,2000.0,2365.47,credit,True,bank statement 1.pdf
2018-07-02,NACH/TP ACH Bajaj Finanac/108265552,-1912.0,453.47,debit,False,bank statement 1.pdf
2018-07-03,POS-VISA/KARUN MEDICAL/818406584956,-75.0,378.47,debit,False,bank statement 1.pdf
2018-07-05,IMPS-MOB/Fund Trf/818600008933/RID- 24 SP/Pay forl,6000.0,6378.47,credit,True,bank statement 1.pdf
2018-07-05,BILLPAY/QUICK/Tata Power /181862237 092/05072018,-4708.0,1670.47,debit,False,bank statement 1.pdf
2018-07-06,POS-VISA/Chembur Trombay EducatMUMB AI/818716574514,-473.56,1196.91,debit,False,bank statement 1.pdf
2018-07-07,BILLPAY/RECH/VIDEOCON DTH/181882351 400/07072018,-285.0,911.91,debit,False,bank statement 1.pdf
2018-07-07,BILLPAY/RECH/AIRTEL PREPA/181882382 248/07072018,-199.0,712.91,debit,False,bank statement 1.pdf
2018-07-08,BILLPAY/RECH/IDEA PREPAID/181892448 103/08072018,-398.0,314.91,debit,False,bank statement 1.pdf
2018-07-13,POS-VISA/MANSI MEDICAL/819413057303,-75.0,239.91,debit,False,bank statement 1.pdf
2018-07-13,POS-VISA/MANSI MEDICAL/819413154044,-229.0,10.91,debit,False,bank statement 1.pdf
2018-07-21,APB-INW/HP644950 027334 1307,234.41,245.32,credit,True,bank statement 1.pdf
2018-07-24,ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN I AKRUTI/820500,-100.0,145.32,debit,False,bank statement 1.pdf
2018-07-24,ATM-NFS/CASH WITHDRAWAL/+HIRANANDAN I AKRUTI/820500,-100.0,45.32,debit,False,bank statement 1.pdf
2018-08-02,IMPS-MOB/Fund Trf/821400010710/BAYY AN MA/Ok,2000.0,2045.32,credit,True,bank statement 1.pdf
2018-08-06,ATM-NFS/CASH WITHDRAWAL/+GRANT ROAD BR/82181001789,-500.0,1545.32,debit,False,bank statement 1.pdf
2018-08-07,IMPS-INET/Fund Trf/821922266679/Cha n/Neft_transac,1000.0,2545.32,credit,True,bank statement 1.pdf
2018-08-08,POS-VISA/MOBIKWK/822005940645,-2362.0,183.32,debit,False,bank statement 1.pdf
2018-08-13,ATM-NFS/CASH WITHDRAWAL/NEAR HINDUJ A COLLEGE/82251,-100.0,83.32,debit,False,bank statement 1.pdf
2018-08-15,POS-VISA/KARUN MEDICAL/822706734149,-75.0,8.32,debit,False,bank statement 1.pdf
2018-08-17,IMPS-RIB/Fund Trf/823000040666/Pay for argant,-3.0,5.32,debit,False,bank statement 1.pdf
2018-08-31,IMPS-MOB/Fund Trf/824301262361/FINN OVATION DIS/Ac,1.0,6.32,debit,True,bank statement 1.pdf
2018-08-31,IMPS-MOB/Fund Trf/824301262609/FINN OVATION DIS/Di,4500.0,4506.32,credit,True,bank statement 1.pdf
2018-08-31,ATM-NFS/CASH WITHDRAWAL/+BOB/824315 013476,-500.0,4006.32,debit,False,bank statement 1.pdf
2018-09-01,POS-VISA/KARUN MEDICAL/824405792484,-75.0,3931.32,debit,False,bank statement 1.pdf
2018-09-01,ATM-NFS/CASH WITHDRAWAL/+DEONAR ST ROAD/8244112849,-500.0,3431.32,debit,False,bank statement 1.pdf
2018-09-01,POS-VISA/MOBIKWIK/824416007647,-285.0,3146.32,debit,False,bank statement 1.pdf
2018-09-02,ATM-NFS/CASH WITHDRAWAL/+TATA NAGAR /824511007593,-500.0,2646.32,debit,False,bank statement 1.pdf
2018-09-03,POS-VISA/MOBIKWIK/824604139262,-285.0,2361.32,debit,False,bank statement 1.pdf
2018-09-03,NACH/TP ACH Bajaj Finanac/122175597,-1912.0,449.32,debit,False,bank statement 1.pdf
2018-09-04,POS-VISA/MOBIKWIK/824711501605,-285.0,164.32,debit,False,bank statement 1.pdf
2018-09-05,APB-INW/HP644950 041318 2708,268.63,432.95,credit,True,bank statement 1.pdf
2018-09-05,BILLPAY/RECH/VIDEOCON DTH/182486873 315/05092018,-285.0,147.95,debit,False,bank statement 1.pdf
2018-09-05,BILLPAY/RECHONREV/182486873315/0509 2018,285.0,432.95,debit,True,bank statement 1.pdf
2018-09-05,BILLPAY/RECH/VIDEOCON DTH/182486873 393/05092018,-285.0,147.95,debit,False,bank statement 1.pdf
2018-09-07,ATM-NFS/CASH WITHDRAWAL/+GOLD COINA PLOT NO/825014,-100.0,47.95,debit,False,bank statement 1.pdf
2018-09-12,IMPS-BRC/Fund Trf/825519008950/Omar am Patel/null,1.0,48.95,debit,True,bank statement 1.pdf
2018-09-12,IMPS-BRC/Fund Trf/825519011169/gopa l gopa/null,1.0,49.95,debit,True,bank statement 1.pdf
2018-09-12,IMPS-BRC/Fund Trf/825519012774/gopa l gopa/null,200.0,249.95,debit,True,bank statement 1.pdf
2018-09-12,IMPS-BRC/Fund Trf/825519012772/gopa l gopa/null,5000.0,5249.95,debit,True,bank statement 1.pdf
2018-09-12,POS-VISA/FINNOVATION TECH SOLUTNEW DELH/8255157419,-5127.89,122.06,debit,False,bank statement 1.pdf
